1747497635144,1747497297146,1747497548465,1747560377065,李牛,男,春,1987-01-01,南京庄,,李牛介绍999,1747497635145
1747497680025,1747497297146,1747497548465,1747497635144,李牛女儿4,女,月,1999-01-01,南京庄,,李牛女儿4,
1747498755837,1747497297146,1747497548465,1747497635144,李牛儿子,男,月,1999-01-02,,,meng儿子,
1747498798016,1747497297146,1747497548465,1747498755837,李牛孙子,男,建,1999-01-02,,,meng孙子,
1747498835528,1747497297146,1747497548465,1747560377065,李牛三,男,春,1989-01-02,南京庄,,川-梦弟弟,1747758967365
1747560332839,1747497297146,1747497548465,1747498835528,李牛三儿子,男,月,1989-01-02,南京庄,,,
1747560377065,1747497297146,1747497548465,,李牛父,男,运,1989-01-02,南京庄,,,
1747569762025,1747569514093,1747569742138,,王石,男,王,,,,,
1747569844117,1747569514093,1747569742138,1747569762025,王石儿子,男,王,1999-01-01,南京庄,,,1747569844117
1747757379455,1747497297146,1747497548465,,李牛女儿5,男,月,1999-01-01,南京庄,,5,
1747757431859,1747497297146,1747497548465,,李牛女儿6,男,月,1999-01-01,南京庄,,6--添加备注,
